# Pronounce — full dictionary

Format: <word> | <IPA> | <respelling> | <category> | <confidence> | <source>

kubectl | /ˈkuːb kənˌtroʊl/ | koob control | cli-tool | contested | (no source)
nginx | /ˈɛn dʒɪnˈɛks/ | engine X | product | creator-clarified | https://nginx.org/en/
GIF | /dʒɪf/ | jif | acronym | creator-clarified | https://www.nytimes.com/2013/05/22/business/media/creator-of-the-gif-says-its-pronounced-jif.html
JSON | /ˈdʒeɪsən/ | jay son | acronym | contested | https://en.wikipedia.org/wiki/JSON#Pronunciation
SQL | /ˈsiːkwəl/ | sequel | acronym | contested | https://en.wikipedia.org/wiki/SQL#Pronunciation
GUI | /ˈɡuːi/ | gooey | acronym | contested | https://en.wikipedia.org/wiki/Graphical_user_interface
GNU | /ɡnuː/ | guh new | project | creator-clarified | https://www.gnu.org/gnu/pronunciation.html
Kubernetes | /ˌkuːbərˈnɛtiːz/ | koober netteez | product | community-consensus | https://kubernetes.io/
k8s | /keɪts/ | kates | abbreviation | community-consensus | (no source)
helm | /hɛlm/ | helm | tool | community-consensus | https://helm.sh/
Istio | /ˈɪstioʊ/ | iss tee oh | product | community-consensus | https://istio.io/
Envoy | /ˈɛnˌvɔɪ/ | en voy | product | community-consensus | https://www.envoyproxy.io/
Prometheus | /prəˈmiːθiəs/ | pro mee thee us | product | community-consensus | https://prometheus.io/
Grafana | /ɡrəˈfɑːnə/ | gra fah na | product | community-consensus | https://grafana.com/
Terraform | /ˈtɛrəˌfɔːrm/ | terra form | tool | community-consensus | https://www.terraform.io/
Argo | /ˈɑːrɡoʊ/ | ar go | product | community-consensus | https://argoproj.github.io/
Knative | /ˈkeɪˌneɪtɪv/ | kay native | product | community-consensus | https://knative.dev/
Cassandra | /kəˈsændrə/ | kuh sandra | product | community-consensus | https://cassandra.apache.org/
Redis | /ˈrɛdɪs/ | red iss | product | community-consensus | https://en.wikipedia.org/wiki/Redis
Ceph | /sɛf/ | seff | product | community-consensus | https://ceph.io/en/
etcd | /ˌɛt siː ˈdiː/ | et C D | product | creator-clarified | https://etcd.io/docs/v3.5/faq/
containerd | /kənˈteɪnər diː/ | container D | product | community-consensus | https://containerd.io/
runc | /rʌn ˈsiː/ | run C | tool | community-consensus | https://github.com/opencontainers/runc
Podman | /ˈpɑːdmən/ | pod man | tool | community-consensus | https://podman.io/
PostgreSQL | /ˈpoʊstɡrɛs kjuː ˈɛl/ | post gress Q L | product | creator-clarified | https://www.postgresql.org/docs/current/faq.html
Postgres | /ˈpoʊstɡrɛs/ | post gress | product | creator-clarified | https://www.postgresql.org/docs/current/faq.html
SQLite | /ˌɛs kjuː ɛl ˈaɪt/ | S Q L ite | product | community-consensus | https://www.sqlite.org/famous.html
MySQL | /ˌmaɪ ɛs kjuː ˈɛl/ | my S Q L | product | creator-clarified | https://dev.mysql.com/doc/refman/8.0/en/what-is-mysql.html
MongoDB | /ˈmɒŋɡoʊ diː biː/ | mongo D B | product | community-consensus | https://www.mongodb.com/
ScyllaDB | /ˈsɪlə diː biː/ | silla D B | product | community-consensus | https://www.scylladb.com/
ClickHouse | /ˈklɪkˌhaʊs/ | click house | product | community-consensus | https://clickhouse.com/
DuckDB | /ˈdʌk diː biː/ | duck D B | product | community-consensus | https://duckdb.org/
Linux | /ˈlɪnəks/ | linnix | product | community-consensus | https://en.wikipedia.org/wiki/Linux#Pronunciation
Debian | /ˈdɛbiən/ | deb ee un | product | creator-clarified | https://www.debian.org/intro/about
Ubuntu | /ʊˈbʊntuː/ | oo boon too | product | community-consensus | https://ubuntu.com/
